course_code,course_name,credits,prerequisites,sequence,course_description,gen_ed,core_ed,elective_ed
CHM-1020,General Education Chemistry,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
CHM-1045,General Chemistry and Qualitative Analysis,3,Pre/Co-Req CHM1025 & MAC1105/CHM1045L,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PHY-1020,General Education Physics,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PHY-2048,Physics with Calculus 1,4,"Pre/Co-Req HS physics, or PHY1025 or 2053, or dept. approval, and MAC2311/PHY2048L",,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PHY-2053,Physics (without Calculus) 1,3,"Pre/Co-Req MAC1147, 1114, 1140/PHY2053L",,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
,,,,,,,0,0
,,,,,,,0,0
,,,,,,,0,0
BOT-1010,Botany,3,Co-Req BOT 1010L,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
BSC-1030,Social Issues in Biology,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
BSC-1050,Biology & Environment,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
BSC-1084,Functional Human Anatomy,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
BSC-2020,Human Biology: Fundamental of Anatomy & Physiology,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
BSC-2250,Natural History of South Florida,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
HUN-1201,Essentials of Human Nutrition,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
OCB-1010,Introduction to Marine Biology,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PCB-2033,Introduction to Ecology,3,Pre-Req PSC1515 or BSC2011,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PCB-2340C,Field Biology,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
ZOO-1010,Zoology,3,Co-Req ZOO 1010L,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
,,,,,,,0,0
,,,,,,,0,0
,,,,,,,0,0
MAC-1105,College Algebra,3,Pre-Req MAT 1033,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
STA-2023,Statistical Methods,3,Pre-Req MAT 1033 or MGF 1131,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
,,,,,,,0,0
,,,,,,,0,0
,,,,,,,0,0
ECO-2023,Principles of Economics (Micro),3,Pre-Req MAT 1033,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
,,,,,,,0,0
,,,,,,,0,0
,,,,,,,0,0
CGS-1060C,Introduction to Computer Technology & Applications,4,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
CGS-1540C,Database Concepts and Design,4,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
COP-1334,Introduction to C++ Programming,4,Pre/Co CGS 1060C,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
COP-2800,Java Programming,4,Pre-req COP 1334 or COP 2270,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
,,,,,,0,,0
,,,,,,0,,0
,,,,,,0,,0
CTS-1134,Networking Technologies,4,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
CTS-1650,CCNA: Cisco Fundamentals,4,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
,,,,,,0,,0
,,,,,,0,,0
,,,,,,0,,0
MAD-1100,Discrete Mathematics for Computer Science,3,Pre-req MAC 1105,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
MAD-2104,Discrete Mathematics,3,"Pre-req MAC 1106, MAC 1140, or MAC 1147",,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
,,,,,,0,,0
,,,,,,0,,0
,,,,,,0,,0
CGS-3763,Operating System Principles,4,Pre COP 1334,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
CIS-3360,Principles of Information Security,4,Pre CTS 1134 or CTS 1650,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
CIS-3510,IT Project Management,4,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
,,,,,,0,,0
,,,,,,0,,0
,,,,,,0,,0
CET-3126C,Computer Architecture,4,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
CET-3383C,Software Engineering I,4,Pre COP 2800 or CET 2369C,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
CEN-4025C,Software Engineering II,4,Pre CET 3383C,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
CEN-4090C,Software Engineering Capstone,4,Department Permission Required,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
COP-3530,Data Structures,4,Pre COP 2800,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
COT-4400,Design and Analysis of Algorithms,4,Pre COP 2800 and Co COP 3530,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
,,,,,,0,,0
,,,,,,0,,0
,,,,,,0,,0
CIS-4347,Information Storage Management,4,Pre CGS 1540C,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
CNT-3409C,Network Security,4,Pre CIS 3360,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
CNT-3526C,Wireless and Mobile Networking,4,Pre CTS 1134 or CTS 1650,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
CNT-4603,System Administration and Maintenance,4,Pre CTS 1134 or CTS 1650,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
CNT-4702,Network Design and Planning,4,Pre CIS 3360,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
CTS-4955,Networking Capstone,4,Department Permission Required,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",0,1,0
